roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_postcentral_smooth3mm,16,3,16,increase,0.8421052631578947,0.00016189263
lh_STH,15,4,15,increase,0.7894736842105263,0.0001317071
lh_precentral_smooth3mm,15,4,15,increase,0.7894736842105263,5.6919653e-05
rh_superiorfrontal_smooth3mm,15,4,15,increase,0.7894736842105263,0.00010666013
lh_zi,14,5,14,increase,0.7368421052631579,0.00013406496
lh_cerebellum_motor,14,5,14,increase,0.7368421052631579,0.00010537415
rh_postcentral_smooth3mm,14,5,14,increase,0.7368421052631579,9.056521e-05
rh_cerebellum_dentate,14,5,14,increase,0.7368421052631579,9.738442e-05
rh_Pu,14,5,14,increase,0.7368421052631579,0.0001737174
lh_GPe,13,6,13,increase,0.6842105263157895,9.4206094e-05
rh_precentral_smooth3mm,13,6,13,increase,0.6842105263157895,5.813468e-05
lh_Pu,13,6,13,increase,0.6842105263157895,0.00012869597
lh_GPi,13,6,13,increase,0.6842105263157895,5.267418e-05
lh_superiorfrontal_smooth3mm,13,6,13,increase,0.6842105263157895,5.282544e-05
lh_paracentral_smooth3mm,12,7,12,increase,0.631578947368421,8.850152e-05
rh_STH,12,7,12,increase,0.631578947368421,-5.025389e-06
rh_cerebellum_motor,12,7,12,increase,0.631578947368421,6.940257e-05
rh_GPi,12,7,12,increase,0.631578947368421,-2.9018027e-05
rh_Ca,12,7,12,increase,0.631578947368421,4.7352383e-05
lh_vim,11,8,11,increase,0.5789473684210527,8.7245695e-05
rh_paracentral_smooth3mm,11,8,11,increase,0.5789473684210527,5.4086173e-05
lh_Ca,10,9,10,increase,0.5263157894736842,1.4097877e-05
lh_cerebellum_dentate,10,9,10,increase,0.5263157894736842,-5.995479e-06
rh_GPe,9,10,10,decrease,0.5263157894736842,5.68324e-05
