roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_GPe,15,4,15,increase,0.7894736842105263,0.00011800794
lh_GPi,15,4,15,increase,0.7894736842105263,0.00010572504
lh_paracentral_smooth3mm,15,4,15,increase,0.7894736842105263,0.00011780993
lh_vim,14,5,14,increase,0.7368421052631579,0.00014661741
rh_Pu,14,5,14,increase,0.7368421052631579,0.00010676496
rh_paracentral_smooth3mm,14,5,14,increase,0.7368421052631579,7.8733094e-05
rh_postcentral_smooth3mm,13,6,13,increase,0.6842105263157895,6.871979e-05
lh_Pu,13,6,13,increase,0.6842105263157895,0.00014689303
rh_cerebellum_dentate,13,6,13,increase,0.6842105263157895,0.00014125321
rh_precentral_smooth3mm,13,6,13,increase,0.6842105263157895,2.4376961e-05
lh_STH,7,12,12,decrease,0.631578947368421,-2.0431204e-05
lh_Ca,12,7,12,increase,0.631578947368421,0.00013420905
lh_cerebellum_motor,12,7,12,increase,0.631578947368421,6.293142e-05
lh_cerebellum_dentate,12,7,12,increase,0.631578947368421,0.00010894445
rh_GPe,12,7,12,increase,0.631578947368421,0.00011464563
lh_superiorfrontal_smooth3mm,12,7,12,increase,0.631578947368421,4.6406978e-05
rh_superiorfrontal_smooth3mm,12,7,12,increase,0.631578947368421,5.3813343e-05
lh_precentral_smooth3mm,11,8,11,increase,0.5789473684210527,3.8945203e-05
rh_Ca,11,8,11,increase,0.5789473684210527,4.6381756e-05
lh_postcentral_smooth3mm,11,8,11,increase,0.5789473684210527,0.0001118171
rh_cerebellum_motor,11,8,11,increase,0.5789473684210527,7.0320886e-05
lh_zi,9,10,10,decrease,0.5263157894736842,3.200598e-05
rh_GPi,10,9,10,increase,0.5263157894736842,-4.058961e-05
rh_STH,9,10,10,decrease,0.5263157894736842,4.8343565e-05
