,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M46,0.008587839,0.01212012,0.0029177552,0.009845637,0.008463062,0.010792697,0.008463339,0.00544106,0.013157083,0.007037577,0.0049542473,0.0036616602,0.004753552,0.0038700765,0.009064437,0.00733565,0.0068755257,0.0073319585,0.009012431,0.0053892615,0.001692921,0.009795687,0.008931515,0.01099788
M7,0.004979283,0.0061301747,0.006292951,0.0060455427,0.004187014,0.008213194,0.0069907773,0.005925335,0.008593336,0.0010409526,0.010058461,0.0065102596,0.0066931965,0.0091031045,0.017304923,0.013830303,0.007597022,0.0053954613,0.015450227,0.013953674,0.009122044,0.008648494,0.005340036,0.015405782
M44,0.010087645,0.010778546,0.022481812,0.009364029,0.02447954,0.010980171,0.0025511356,0.00411726,0.006434066,0.010269578,0.009523224,0.012585455,0.009180385,0.016089557,0.018763259,0.018026302,0.019365745,0.027956411,0.0013818595,0.016154468,0.009693561,0.008833634,0.010573011,0.009684896
M86,0.002499245,0.017762832,0.01562811,0.006771821,0.0069068223,0.010503479,0.009032098,0.0032612178,0.016254101,0.011254527,0.012519753,0.023391312,0.002623094,0.01981188,0.024609255,0.007584507,0.00961786,0.008812702,0.0071668276,0.01769492,0.010152688,0.015170261,0.012602965,0.015540299
M82,0.0035670693,0.009037251,0.010645252,0.0152315525,0.008592787,0.013114122,0.013348644,0.0020752994,0.0034852745,0.0119920205,0.004568037,0.01201964,0.004424264,0.010227528,0.003938031,0.013882594,0.013868404,0.005269578,0.003947862,0.0147827305,0.0067597213,0.009752812,0.01231338,0.0035892066
M14,0.02301207,0.009329684,0.012137462,0.004754044,0.015042054,0.008728604,0.010246409,0.013656164,0.0046197614,0.009740003,0.011103041,0.012851384,0.007849329,0.016430613,0.015218172,0.0031410798,0.004499596,0.007737418,0.014368935,0.011678123,0.014082369,0.008228077,0.015037636,0.013925956
M48,0.031122226,0.0055324035,0.020743148,0.0053547393,0.025568906,0.01811268,0.007707026,0.03279086,0.009027135,0.02299975,0.01813565,0.02784043,0.024950933,0.01587462,0.019038105,0.016739251,0.009185328,0.013551696,0.0047360808,0.013285134,0.017214265,0.011711253,0.018868059,0.009517354
M42,0.033382405,0.04554702,0.027337486,0.013831621,0.022602798,0.01328493,0.0040950263,0.022958446,0.0147277,0.004777619,0.029022237,0.026832446,0.019236054,0.015115621,0.015066408,0.016774112,0.0016848285,0.02604243,0.028505808,0.0017747734,0.03137962,0.009898406,0.019672763,0.028361052
M55,0.019881932,0.014003746,0.014943036,0.023128718,0.00747551,0.013545173,0.017822701,0.02759352,0.009259319,0.006783817,0.015212917,0.032248434,0.02099251,0.018716149,0.015731031,0.0073606013,0.01110382,0.00961894,0.03503121,0.04202929,0.019547878,0.008177324,0.009776123,0.027595902
M77,0.027806528,0.026355965,0.015599414,0.025108228,0.021042503,0.022762049,0.026178174,0.053798646,0.012832175,0.021788934,0.017655114,0.022811547,0.044448767,0.024580212,0.027304493,0.02727112,0.042582814,0.032945115,0.03411838,0.022751024,0.02345359,0.04025768,0.019050043,0.014862946
M78,0.017889634,0.034678433,0.03056485,0.039954744,0.02185848,0.024744237,0.0022144488,0.021360826,0.020427648,0.027332338,0.033610523,0.031229401,0.029729707,0.026093531,0.009117381,0.0106345685,0.027105708,0.008521793,0.028143894,0.03497377,0.014211867,0.007713561,0.016090956,0.020071108
M71,0.021901885,0.009495075,0.013784033,0.016754944,0.010059465,0.014429785,0.03262405,0.009656899,0.024795026,0.022642523,0.013819645,0.017362628,0.009804695,0.019207072,0.03097168,0.0033879015,0.013166564,0.031157276,0.018512124,0.016575309,0.022332767,0.008910816,0.021475859,0.026458964
M56,0.026344888,0.026357306,0.009837909,0.012314873,0.011202334,0.018049324,0.014521473,0.029006828,0.015244697,0.033837948,0.029449126,0.015117394,0.007477571,0.0075548454,0.020455549,0.0013497077,0.005851349,0.027129786,0.06902032,0.012708882,0.012433019,0.021966314,0.010359442,0.024749793
M64,0.03278252,0.023204619,0.019833507,0.027292997,0.003839958,0.013613591,0.01847211,0.031962138,0.014402295,0.02928739,0.008551908,0.008525871,0.0100277085,0.017215762,0.0038699163,0.013153451,0.020246929,0.015843406,0.027267251,0.0064911684,0.02205564,0.010364594,0.021326486,0.015271552
M89,0.027601494,0.027076187,0.027910065,0.024352802,0.004131361,0.025564311,0.032195874,0.031996373,0.0063195094,0.025957365,0.0058614598,0.023083968,0.025075665,0.024612948,0.0032361974,0.040383723,0.030147871,0.023872826,0.016006757,0.03270492,0.008282658,0.017938776,0.019568648,0.014665001
M54,0.018017996,0.029588131,0.011562617,0.015416649,0.06492154,0.06036316,0.025670495,0.04327186,0.023353826,0.031427637,0.048997775,0.019433483,0.04274372,0.022081506,0.051592957,0.010281745,0.034888882,0.026291713,0.04075774,0.017392393,0.034394972,0.03325974,0.01676765,0.038003482
M62,0.03262181,0.005085838,0.0546629,0.031344738,0.023501312,0.041179694,0.056213066,0.020422086,0.058762144,0.0020529435,0.021227244,0.05987746,0.03665974,0.01081756,0.0362135,0.022217438,0.03886569,0.019214809,0.03386133,0.022508105,0.0130281085,0.031563196,0.024283746,0.046189785
M19,0.017390091,0.013010343,0.022921579,0.0056342245,0.027354738,0.037948247,0.029244632,0.0163888,0.039335717,0.0236966,0.033122547,0.018467875,0.032949787,0.022117712,0.06473826,0.03453584,0.0334136,0.037614122,0.050257947,0.030735385,0.010544782,0.04637345,0.017994087,0.021327851
