epoch,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,198.876252,30.444105,296.198282,70.409465,0.700651,107.025055,1.093503,211.339878,0.918363,0.698360,1.00e-03
2,83.065935,6.771635,157.897383,0.769291,0.693562,55.324313,1.000484,108.878885,0.068643,0.700614,9.99e-04
3,38.527793,2.738152,73.421522,0.201802,0.694109,22.408558,0.996508,43.095254,0.022373,0.702980,9.98e-04
4,13.480925,1.545869,24.659149,0.062461,0.694371,6.060146,0.996111,10.405898,0.013856,0.704427,9.96e-04
5,3.029135,1.192071,4.145088,0.021984,0.699126,1.152280,0.996040,0.595251,0.006872,0.706398,9.94e-04
6,0.948188,1.072378,0.109177,0.009302,0.705517,0.865207,0.995783,0.029523,0.003171,0.701936,9.91e-04
7,0.867064,1.023189,0.015474,0.002924,0.692541,0.860429,0.995849,0.017715,0.001340,0.705953,9.88e-04
8,0.847834,1.017930,0.006462,0.001742,0.669535,0.847953,0.995839,0.011597,0.000306,0.688164,9.84e-04
9,0.868282,1.039366,0.003801,0.003383,0.690013,0.975386,0.995830,0.008135,0.000901,0.945905,9.80e-04
10,0.868847,1.023935,0.004452,0.000699,0.708607,0.953392,0.995831,0.027987,0.000171,0.882796,9.76e-04
11,0.846350,1.026058,0.007700,0.002894,0.656049,0.864477,0.995847,0.009039,0.000265,0.723802,9.70e-04
12,0.803395,1.016409,0.007817,0.000690,0.581875,0.902456,0.995833,0.003214,0.000030,0.805834,9.65e-04
13,0.770468,1.023644,0.004943,0.000795,0.511555,1.109225,0.995839,0.002531,0.000215,1.219864,9.59e-04
14,0.715944,1.031394,0.004032,0.001291,0.395172,1.145051,0.995838,0.003712,0.000206,1.290345,9.52e-04
15,0.632315,1.021575,0.004466,0.000688,0.237900,1.402476,0.995831,0.001129,0.000028,1.807963,9.46e-04
16,0.679227,1.026397,0.001728,0.001012,0.329318,1.398121,0.995835,0.001522,0.000352,1.798532,9.38e-04
17,0.642963,1.023460,0.002615,0.000903,0.258947,1.272532,0.995834,0.008283,0.001062,1.539886,9.30e-04
18,0.559856,1.014219,0.001976,0.000615,0.102901,1.599184,0.995828,0.001422,0.000029,2.201088,9.22e-04
19,0.535435,1.015054,0.001721,0.000511,0.053584,1.338370,0.995833,0.001673,0.000036,1.679198,9.14e-04
20,0.516695,1.013765,0.000824,0.000409,0.018392,1.874989,0.995829,0.001627,0.000062,2.752459,9.05e-04
21,0.520967,1.013464,0.000591,0.000201,0.027677,1.531052,0.995833,0.000552,0.000006,2.065713,8.95e-04
22,0.516022,1.011869,0.000950,0.000335,0.018890,1.740460,0.995834,0.000454,0.000045,2.484586,8.85e-04
23,0.505714,1.007234,0.000980,0.000308,0.002906,1.576309,0.995830,0.000437,0.000000,2.156349,8.75e-04
24,0.505698,1.008611,0.000483,0.000258,0.002045,1.279308,0.995832,0.000416,0.000025,1.562344,8.65e-04
25,0.508510,1.008388,0.000486,0.000222,0.007924,1.327670,0.995833,0.000461,0.000007,1.659039,8.54e-04
26,0.505627,1.006735,0.000433,0.000210,0.003875,1.545344,0.995831,0.000395,0.000010,2.094453,8.42e-04
27,0.505817,1.009383,0.000379,0.000317,0.001555,1.426700,0.995833,0.000321,0.000022,1.857223,8.31e-04
28,0.504417,1.006436,0.000372,0.000078,0.001947,1.728831,0.995833,0.000301,0.000004,2.461524,8.19e-04
29,0.503309,1.003576,0.000341,0.000103,0.002598,1.807061,0.995833,0.000285,0.000002,2.618003,8.07e-04
30,0.510024,1.003775,0.000363,0.000129,0.015783,1.854538,0.995834,0.000302,0.000021,2.712920,7.94e-04
31,0.503241,1.003121,0.000377,0.000218,0.002767,1.778634,0.995833,0.000262,0.000015,2.561159,7.81e-04
