epoch,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
46,349814.055288,567480.726863,30674.702825,101471.984826,0.699033,501928.437500,876795.296875,29758.914551,97301.974609,0.695797,5.63e-04
47,357177.734976,585041.838341,30572.940617,98740.000150,0.694053,482233.515625,838378.265625,29874.242676,96213.828125,0.692161,5.48e-04
48,334056.330829,541477.342248,29781.924204,96852.700721,0.694673,597809.062500,1073542.312500,30035.369629,92039.775391,0.692825,5.32e-04
49,354580.113582,585464.795072,29734.752479,93959.971304,0.695471,325367.976562,525163.500000,28974.007324,96597.759766,0.694122,5.16e-04
50,310338.981070,498062.855769,29092.813401,93521.597506,0.696023,332601.140625,541534.656250,28607.479492,95059.468750,0.690797,5.01e-04
51,322735.877404,525395.322416,28721.421499,91354.318810,0.694842,295737.066406,466674.234375,28867.211914,95931.994141,0.692464,4.85e-04
52,319730.938101,520767.386418,29023.611629,89670.185547,0.697252,273164.542969,424407.734375,28881.276367,93039.378906,0.690829,4.69e-04
53,303133.216196,489947.130709,28939.743089,87378.866887,0.693856,254612.886719,389407.218750,28910.644531,90907.189453,0.688955,4.53e-04
54,299549.391076,485112.221004,28454.535081,85531.333083,0.695186,347036.195312,580580.804688,27925.861328,85565.041016,0.694810,4.38e-04
55,305789.646935,500026.113882,28065.818697,83486.667969,0.695621,405329.320312,699312.125000,27867.874512,83477.960938,0.693204,4.22e-04
56,306968.400841,502801.354868,27940.190617,83194.557542,0.696500,343946.070312,575991.171875,27446.663574,84453.617188,0.698713,4.07e-04
57,301619.095553,494259.215445,27819.552885,81158.720403,0.698454,393384.585938,677332.656250,27673.354004,81762.464844,0.695456,3.92e-04
58,293501.285457,477897.922776,28049.665790,81054.283804,0.697124,338490.664062,568043.046875,27482.650391,81454.937500,0.693821,3.76e-04
59,288891.320613,469618.726863,27994.280762,80168.935397,0.695936,292422.628906,473999.656250,26938.200195,83906.730469,0.694864,3.61e-04
60,297548.783804,488254.383714,27672.242413,79170.243089,0.697695,275885.777344,441280.617188,27258.014160,83232.246094,0.692378,3.46e-04
61,292085.375751,478477.443209,27479.484187,78213.128906,0.696516,274121.410156,439869.367188,26903.549805,81469.218750,0.694033,3.31e-04
62,282031.096755,460833.315805,26880.967661,76347.214844,0.697692,293097.472656,479590.328125,26789.257324,79814.667969,0.692707,3.17e-04
63,271889.976562,441322.834135,26854.158616,75602.268480,0.697539,272968.417969,440981.125000,26261.392090,78693.625000,0.691284,3.02e-04
64,272926.053486,445045.622296,26572.343149,74233.446514,0.699509,237681.613281,372149.304688,26048.440918,77164.775391,0.695684,2.88e-04
65,266498.128756,434067.131611,26659.089618,72269.336689,0.700784,229861.082031,355920.378906,26489.680176,77311.410156,0.695492,2.74e-04
66,327645.390174,556524.560397,26466.502667,72299.019982,0.698728,491673.609375,886293.812500,26638.468750,70414.267578,0.693994,2.60e-04
67,354365.010216,610449.126803,26339.692420,71940.506385,0.696973,713364.515625,1332131.937500,26177.240723,68419.156250,0.694159,2.46e-04
68,353871.698167,608356.496695,26200.337628,73185.872296,0.697214,515685.992188,934810.343750,26100.335449,70460.601562,0.694629,2.33e-04
69,322076.296725,546066.735877,25985.914964,72099.244141,0.697584,429415.976562,762018.062500,25593.486816,71219.718750,0.692511,2.20e-04
70,306385.359075,515316.970102,25660.214769,71792.830379,0.696249,489087.054688,882359.312500,25655.046387,70159.044922,0.691108,2.07e-04
71,305251.587740,513100.431941,25607.565956,71794.478065,0.696268,350013.367188,601606.593750,25426.662109,72992.761719,0.689503,1.94e-04
72,298139.230168,498227.890325,25518.693172,72531.180889,0.695133,530930.679688,966727.625000,25508.140137,69624.896484,0.691393,1.82e-04
73,300010.612831,502984.375000,25476.831468,71559.318585,0.695859,316201.437500,534956.601562,25081.731445,72363.878906,0.689665,1.70e-04
74,285058.536959,473694.002704,25202.216572,71220.158428,0.694268,391163.328125,686345.875000,25049.632812,70930.476562,0.690742,1.59e-04
75,277739.650541,459336.775240,25071.749211,71070.077449,0.695353,292009.414062,486442.312500,24910.223633,72665.613281,0.689956,1.47e-04
76,267879.913462,439518.396034,25158.238694,71082.492788,0.695133,391574.742188,687938.046875,25120.655273,70090.121094,0.691943,1.36e-04
77,269120.811448,442729.057843,25129.666767,70382.200120,0.695887,246175.671875,394291.046875,24945.144043,73114.457031,0.690492,1.26e-04
78,251984.934645,408536.623498,25057.376202,70375.173152,0.694572,262304.371094,427669.304688,25007.589844,71931.160156,0.690997,1.16e-04
79,250112.763071,405742.253305,25107.985614,69374.591872,0.695181,226380.519531,355319.519531,24974.509766,72466.332031,0.690450,1.06e-04
80,243472.651743,392959.596154,25012.976375,68972.035983,0.694509,211682.351562,325676.148438,24939.107910,72748.759766,0.690254,9.64e-05
81,237471.243840,381481.445763,24945.311373,68515.040114,0.693916,200628.296875,303367.093750,24986.285645,72902.527344,0.690336,8.74e-05
82,233004.164513,372555.725210,24936.776217,68515.141902,0.693253,198433.777344,299312.988281,24833.920898,72719.937500,0.690229,7.88e-05
83,229917.865986,366470.618540,24973.626502,68390.796274,0.694612,195726.371094,294078.976562,24907.737305,72465.339844,0.689975,7.06e-05
84,227517.650090,361698.103666,24991.378493,68345.123573,0.694861,201563.859375,306269.386719,24889.388184,71968.261719,0.689197,6.28e-05
85,224973.938401,356533.233023,24935.321252,68478.629883,0.693969,194594.089844,292212.320312,24824.642090,72150.541016,0.689663,5.54e-05
86,223063.207031,353005.489032,24909.142616,68211.083834,0.694622,212971.652344,329940.753906,24842.792969,71159.064453,0.688507,4.85e-05
87,222272.773588,351401.764724,24917.137620,68225.951848,0.695910,207184.542969,318592.152344,24832.098145,70944.158203,0.689571,4.21e-05
88,223418.089093,353683.839093,24964.209585,68187.435472,0.695013,210282.656250,324350.601562,24917.094727,71296.933594,0.687755,3.61e-05
89,218581.132212,343734.010517,24886.747070,68540.811448,0.695821,212174.578125,328612.527344,24757.525391,70978.416016,0.688029,3.05e-05
90,218112.804688,342734.505859,24840.695575,68649.714769,0.695713,222181.843750,348866.765625,24754.391113,70741.847656,0.687231,2.54e-05
91,214934.374249,336115.770433,24882.908278,68869.374549,0.696161,217050.746094,338367.718750,24770.865723,70962.226562,0.686540,2.08e-05
92,210557.283954,327428.134014,24850.076472,68835.662936,0.698102,218471.558594,341073.750000,24747.199707,71121.466797,0.686152,1.67e-05
93,209773.280048,325561.084435,24819.712064,69165.063702,0.696545,216618.414062,337269.500000,24690.138184,71276.498047,0.685946,1.30e-05
94,207640.442909,321246.555889,24819.373009,69214.257362,0.696986,214665.468750,333197.531250,24742.949219,71389.765625,0.685868,9.85e-06
95,205409.113281,316723.632812,24851.811373,69242.086088,0.695531,211637.156250,326876.265625,24759.906250,71637.455078,0.685795,7.15e-06
96,204529.719501,314843.955829,24852.661659,69362.124474,0.696651,208329.941406,320017.871094,24726.812988,71914.515625,0.685750,4.94e-06
97,203374.484525,312500.213642,24837.287184,69410.771034,0.696809,204866.214844,312835.562500,24737.479980,72158.707031,0.685765,3.22e-06
98,202686.282452,311073.540565,24840.871394,69457.455754,0.697104,203498.167969,309961.113281,24728.523926,72306.013672,0.685778,1.99e-06
99,202508.415565,310717.001502,24837.325045,69461.804162,0.696461,203231.707031,309352.730469,24734.731445,72375.261719,0.685788,1.25e-06
100,202165.487380,309959.995192,24842.258301,69528.025165,0.696869,202238.968750,307288.671875,24734.169434,72454.416016,0.685791,1.00e-06
