roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_GPe,13,6,13,increase,0.6842105263157895,0.00010165661
rh_GPi,6,13,13,decrease,0.6842105263157895,-0.00015850803
rh_Ca,13,6,13,increase,0.6842105263157895,-1.7223747e-05
lh_precentral_smooth3mm,13,6,13,increase,0.6842105263157895,4.6844838e-05
rh_superiorfrontal_smooth3mm,13,6,13,increase,0.6842105263157895,7.004445e-05
rh_STH,7,12,12,decrease,0.631578947368421,-0.00013167564
rh_paracentral_smooth3mm,7,12,12,decrease,0.631578947368421,3.3825727e-06
rh_GPe,12,7,12,increase,0.631578947368421,5.829568e-05
rh_postcentral_smooth3mm,12,7,12,increase,0.631578947368421,6.747589e-05
rh_cerebellum_motor,7,12,12,decrease,0.631578947368421,-0.00014569245
lh_superiorfrontal_smooth3mm,12,7,12,increase,0.631578947368421,-2.6014253e-05
lh_postcentral_smooth3mm,11,8,11,increase,0.5789473684210527,3.559546e-05
rh_precentral_smooth3mm,11,8,11,increase,0.5789473684210527,-4.621968e-05
lh_STH,11,8,11,increase,0.5789473684210527,3.6618123e-05
lh_Ca,8,11,11,decrease,0.5789473684210527,-4.1542273e-05
rh_cerebellum_dentate,11,8,11,increase,0.5789473684210527,4.454298e-05
lh_paracentral_smooth3mm,9,10,10,decrease,0.5263157894736842,4.633715e-05
lh_cerebellum_motor,9,10,10,decrease,0.5263157894736842,2.9627947e-06
lh_cerebellum_dentate,9,10,10,decrease,0.5263157894736842,5.4383677e-06
lh_Pu,10,9,10,increase,0.5263157894736842,-4.6870104e-05
lh_GPi,9,10,10,decrease,0.5263157894736842,-1.9105302e-05
lh_vim,9,10,10,decrease,0.5263157894736842,-5.4034994e-05
lh_zi,9,10,10,decrease,0.5263157894736842,1.4366696e-05
rh_Pu,10,9,10,increase,0.5263157894736842,2.3116469e-05
