roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_Ca,4,15,15,decrease,0.7894736842105263,-6.208994e-05
lh_GPi,4,15,15,decrease,0.7894736842105263,-9.151713e-05
lh_zi,4,15,15,decrease,0.7894736842105263,-0.000109299785
rh_STH,5,14,14,decrease,0.7368421052631579,-0.00013900302
lh_cerebellum_dentate,13,6,13,increase,0.6842105263157895,0.00015365687
lh_precentral_smooth3mm,7,12,12,decrease,0.631578947368421,-6.8655434e-05
lh_postcentral_smooth3mm,7,12,12,decrease,0.631578947368421,-5.8132886e-05
lh_paracentral_smooth3mm,7,12,12,decrease,0.631578947368421,-7.3051706e-05
rh_cerebellum_motor,7,12,12,decrease,0.631578947368421,-7.361534e-05
rh_postcentral_smooth3mm,7,12,12,decrease,0.631578947368421,-9.429568e-05
rh_paracentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-7.3591036e-05
lh_Pu,8,11,11,decrease,0.5789473684210527,-2.54901e-05
rh_superiorfrontal_smooth3mm,11,8,11,increase,0.5789473684210527,-1.3086736e-06
lh_cerebellum_motor,9,10,10,decrease,0.5263157894736842,-1.2474167e-05
lh_GPe,9,10,10,decrease,0.5263157894736842,1.936477e-07
lh_STH,10,9,10,increase,0.5263157894736842,-4.5533805e-05
rh_GPi,9,10,10,decrease,0.5263157894736842,1.631901e-05
rh_GPe,9,10,10,decrease,0.5263157894736842,8.651248e-06
rh_Ca,10,9,10,increase,0.5263157894736842,-3.2546326e-05
lh_vim,9,10,10,decrease,0.5263157894736842,-6.8772106e-06
lh_superiorfrontal_smooth3mm,9,10,10,decrease,0.5263157894736842,8.745348e-06
rh_Pu,9,10,10,decrease,0.5263157894736842,2.1973845e-05
rh_cerebellum_dentate,10,9,10,increase,0.5263157894736842,-8.089593e-07
rh_precentral_smooth3mm,10,9,10,increase,0.5263157894736842,-1.6347307e-05
