roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_GPi,3,16,16,decrease,0.8421052631578947,-0.00010603693
rh_precentral_smooth3mm,4,15,15,decrease,0.7894736842105263,-8.01757e-05
rh_GPe,5,14,14,decrease,0.7368421052631579,-6.0782233e-05
lh_cerebellum_motor,6,13,13,decrease,0.6842105263157895,-6.649059e-05
lh_superiorfrontal_smooth3mm,6,13,13,decrease,0.6842105263157895,-1.6160662e-05
rh_Ca,6,13,13,decrease,0.6842105263157895,-5.657354e-05
rh_Pu,13,6,13,increase,0.6842105263157895,3.785399e-05
rh_cerebellum_motor,7,12,12,decrease,0.631578947368421,-1.1704403e-05
rh_superiorfrontal_smooth3mm,7,12,12,decrease,0.631578947368421,-0.00012778517
rh_paracentral_smooth3mm,12,7,12,increase,0.631578947368421,2.610674e-05
rh_cerebellum_dentate,7,12,12,decrease,0.631578947368421,-6.121849e-05
rh_postcentral_smooth3mm,12,7,12,increase,0.631578947368421,5.2115833e-05
lh_GPe,8,11,11,decrease,0.5789473684210527,-1.4740163e-05
lh_STH,8,11,11,decrease,0.5789473684210527,1.4928274e-07
lh_postcentral_smooth3mm,8,11,11,decrease,0.5789473684210527,1.4475012e-06
lh_cerebellum_dentate,11,8,11,increase,0.5789473684210527,-9.513604e-06
lh_paracentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-3.4809898e-06
lh_Pu,10,9,10,increase,0.5263157894736842,2.7839129e-05
lh_Ca,10,9,10,increase,0.5263157894736842,7.4730597e-06
lh_vim,9,10,10,decrease,0.5263157894736842,-5.9046084e-05
rh_GPi,10,9,10,increase,0.5263157894736842,-6.460621e-05
lh_zi,9,10,10,decrease,0.5263157894736842,-3.917979e-05
lh_precentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-1.9603132e-05
rh_STH,9,10,10,decrease,0.5263157894736842,-5.2823758e-05
