roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_Pu,5,14,14,decrease,0.7368421052631579,-3.0599324e-05
rh_Pu,5,14,14,decrease,0.7368421052631579,-3.2579548e-05
rh_postcentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-4.06671e-05
lh_Ca,6,13,13,decrease,0.6842105263157895,-2.2608947e-05
lh_vim,6,13,13,decrease,0.6842105263157895,-4.59789e-05
rh_GPe,13,6,13,increase,0.6842105263157895,3.4816432e-05
lh_postcentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-1.3770466e-05
rh_paracentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-4.9350758e-05
rh_superiorfrontal_smooth3mm,7,12,12,decrease,0.631578947368421,-3.021874e-05
rh_STH,7,12,12,decrease,0.631578947368421,-3.3990742e-05
rh_Ca,12,7,12,increase,0.631578947368421,0.00010352172
lh_precentral_smooth3mm,12,7,12,increase,0.631578947368421,5.0766434e-05
lh_cerebellum_dentate,7,12,12,decrease,0.631578947368421,-6.3432184e-05
lh_paracentral_smooth3mm,7,12,12,decrease,0.631578947368421,-2.7094944e-05
lh_zi,11,8,11,increase,0.5789473684210527,5.780723e-05
lh_STH,8,11,11,decrease,0.5789473684210527,-2.1128704e-05
rh_cerebellum_dentate,11,8,11,increase,0.5789473684210527,4.3903758e-05
lh_cerebellum_motor,9,10,10,decrease,0.5263157894736842,-1.3205861e-05
lh_GPe,10,9,10,increase,0.5263157894736842,3.114217e-05
lh_GPi,9,10,10,decrease,0.5263157894736842,1.6462294e-05
rh_GPi,9,10,10,decrease,0.5263157894736842,-1.5234703e-05
lh_superiorfrontal_smooth3mm,9,10,10,decrease,0.5263157894736842,-3.033418e-05
rh_cerebellum_motor,10,9,10,increase,0.5263157894736842,4.919806e-06
rh_precentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-6.3336476e-05
