roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_cerebellum_dentate,4,15,15,decrease,0.7894736842105263,-9.268073e-05
lh_vim,4,15,15,decrease,0.7894736842105263,-0.000108558896
rh_postcentral_smooth3mm,4,15,15,decrease,0.7894736842105263,-8.690837e-05
rh_cerebellum_dentate,5,14,14,decrease,0.7368421052631579,-6.0295766e-05
lh_superiorfrontal_smooth3mm,6,13,13,decrease,0.6842105263157895,-5.674554e-05
lh_Pu,6,13,13,decrease,0.6842105263157895,-4.4306646e-05
lh_GPi,6,13,13,decrease,0.6842105263157895,-0.00010265353
rh_GPe,6,13,13,decrease,0.6842105263157895,-3.153955e-05
rh_cerebellum_motor,7,12,12,decrease,0.631578947368421,-5.3998712e-05
rh_STH,7,12,12,decrease,0.631578947368421,-0.00012034955
rh_Pu,7,12,12,decrease,0.631578947368421,-6.02923e-05
lh_cerebellum_motor,7,12,12,decrease,0.631578947368421,-6.313375e-05
lh_GPe,7,12,12,decrease,0.631578947368421,-3.1210813e-05
rh_GPi,7,12,12,decrease,0.631578947368421,-8.696687e-05
lh_Ca,8,11,11,decrease,0.5789473684210527,-7.35899e-05
lh_STH,8,11,11,decrease,0.5789473684210527,-2.09703e-05
lh_paracentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-5.758192e-05
rh_precentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-3.214287e-05
lh_postcentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-7.255927e-05
lh_zi,8,11,11,decrease,0.5789473684210527,-7.233482e-05
rh_superiorfrontal_smooth3mm,8,11,11,decrease,0.5789473684210527,-6.208272e-05
lh_precentral_smooth3mm,10,9,10,increase,0.5263157894736842,-1.1341862e-05
rh_Ca,10,9,10,increase,0.5263157894736842,-3.5959987e-05
rh_paracentral_smooth3mm,10,9,10,increase,0.5263157894736842,-5.764356e-05
