epoch,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,19.542742,17.350135,200.482907,228.160143,0.698343,216.263535,1.263865,165.252949,73.698715,0.695594,1.00e-03
2,8.832683,6.218545,142.338301,33.589438,0.692938,117.874681,1.033917,116.504719,13.355330,0.701155,9.99e-04
3,5.104113,2.932829,81.865284,6.847116,0.693321,52.437725,0.999187,55.174645,2.011746,0.707058,9.98e-04
4,2.734207,1.416870,37.468832,1.139946,0.691076,21.790308,0.995787,22.987466,0.149016,0.712673,9.96e-04
5,1.706908,1.093237,14.349688,0.186289,0.688755,7.682338,0.995833,7.435512,0.024569,0.720152,9.94e-04
6,1.198250,1.018765,3.898359,0.039631,0.687093,2.246416,0.995818,1.406888,0.011808,0.733537,9.91e-04
7,1.008092,1.006373,0.524863,0.015085,0.683394,1.038951,0.995820,0.074231,0.003750,0.725296,9.88e-04
8,0.971874,1.002513,0.019375,0.005255,0.678385,0.969203,0.995824,0.000801,0.001208,0.711529,9.84e-04
9,0.968949,1.000610,0.000152,0.003193,0.681290,0.967739,0.995829,0.000017,0.000898,0.706691,9.80e-04
10,0.966830,0.999411,0.000029,0.001705,0.672043,0.968785,0.995827,0.000040,0.000703,0.718724,9.76e-04
11,0.966944,0.999270,0.000047,0.001393,0.674590,0.971349,0.995826,0.000048,0.002799,0.725430,9.70e-04
12,0.967327,0.999650,0.000049,0.002625,0.673538,0.969943,0.995829,0.000029,0.001167,0.726201,9.65e-04
13,0.966320,0.999167,0.000021,0.001000,0.669505,0.969026,0.995832,0.000030,0.000500,0.722998,9.59e-04
14,0.964393,0.997899,0.000018,0.000818,0.661781,0.969107,0.995829,0.000007,0.000305,0.725804,9.52e-04
15,0.964978,0.998377,0.000017,0.000992,0.663021,0.969059,0.995832,0.000003,0.000862,0.720305,9.46e-04
16,0.963347,0.998107,0.000015,0.001150,0.648830,0.967316,0.995832,0.000008,0.000365,0.707316,9.38e-04
17,0.961689,0.997966,0.000016,0.000833,0.633897,0.969258,0.995831,0.000009,0.000428,0.726166,9.30e-04
18,0.959869,0.998107,0.000020,0.001290,0.613604,0.968116,0.995832,0.000012,0.000888,0.710575,9.22e-04
19,0.959216,0.998315,0.000023,0.001404,0.604885,0.968309,0.995833,0.000038,0.000411,0.716554,9.14e-04
20,0.956524,0.998282,0.000015,0.002351,0.576435,0.965754,0.995826,0.000025,0.002232,0.674788,9.05e-04
21,0.961475,0.998761,0.000034,0.002804,0.620536,0.970066,0.995831,0.000242,0.000851,0.728343,8.95e-04
22,0.955048,0.999261,0.000114,0.001408,0.554118,0.973837,0.995832,0.000703,0.002679,0.745451,8.85e-04
23,0.953303,0.999335,0.000223,0.003348,0.531626,0.976624,0.995829,0.000036,0.002032,0.785173,8.75e-04
24,0.955643,0.999711,0.000016,0.002239,0.554160,0.978643,0.995832,0.000003,0.000281,0.821395,8.65e-04
25,0.948126,0.998523,0.000007,0.000781,0.492780,0.984190,0.995831,0.000018,0.000872,0.871402,8.54e-04
26,0.942948,0.998357,0.000012,0.001180,0.441473,0.984425,0.995831,0.000043,0.000358,0.878165,8.42e-04
27,0.942371,0.999603,0.000025,0.004195,0.417028,0.973195,0.995833,0.000052,0.001219,0.758011,8.31e-04
28,0.928488,1.000128,0.000020,0.002149,0.278257,0.980507,0.995834,0.000027,0.001032,0.833036,8.19e-04
29,0.919444,0.999756,0.000009,0.001099,0.193748,1.088527,0.995833,0.000006,0.001420,1.909944,8.07e-04
