roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_GPe,17,2,17,increase,0.8947368421052632,0.0005161232
lh_Pu,16,3,16,increase,0.8421052631578947,0.00018153765
lh_cerebellum_dentate,3,16,16,decrease,0.8421052631578947,-0.0002218093
lh_cerebellum_motor,4,15,15,decrease,0.7894736842105263,-6.4743595e-05
rh_Pu,15,4,15,increase,0.7894736842105263,0.00026216134
lh_vim,15,4,15,increase,0.7894736842105263,0.00019574596
rh_superiorfrontal_smooth3mm,14,5,14,increase,0.7368421052631579,9.4713716e-05
rh_postcentral_smooth3mm,14,5,14,increase,0.7368421052631579,0.0001068052
rh_cerebellum_motor,6,13,13,decrease,0.6842105263157895,-0.000120226076
lh_STH,13,6,13,increase,0.6842105263157895,8.8399365e-06
lh_Ca,13,6,13,increase,0.6842105263157895,0.00012528784
lh_GPi,13,6,13,increase,0.6842105263157895,2.333409e-05
rh_GPi,13,6,13,increase,0.6842105263157895,8.75128e-05
lh_precentral_smooth3mm,13,6,13,increase,0.6842105263157895,6.16221e-05
rh_Ca,13,6,13,increase,0.6842105263157895,5.042276e-05
lh_zi,13,6,13,increase,0.6842105263157895,9.8782555e-05
rh_cerebellum_dentate,6,13,13,decrease,0.6842105263157895,-0.00012386272
rh_precentral_smooth3mm,12,7,12,increase,0.631578947368421,7.986933e-05
rh_GPe,7,12,12,decrease,0.631578947368421,-0.00018671295
rh_paracentral_smooth3mm,7,12,12,decrease,0.631578947368421,-4.8316986e-05
lh_postcentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-3.0281157e-07
lh_superiorfrontal_smooth3mm,8,11,11,decrease,0.5789473684210527,-4.594046e-05
rh_STH,11,8,11,increase,0.5789473684210527,-3.7420064e-05
lh_paracentral_smooth3mm,10,9,10,increase,0.5263157894736842,1.9274272e-05
