roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
rh_Pu,16,3,16,increase,0.8421052631578947,0.0002244598
rh_GPi,15,4,15,increase,0.7894736842105263,0.00017527778
lh_STH,14,5,14,increase,0.7368421052631579,0.00012351261
rh_STH,14,5,14,increase,0.7368421052631579,8.120635e-05
lh_vim,13,6,13,increase,0.6842105263157895,0.00019418602
lh_Ca,13,6,13,increase,0.6842105263157895,0.00011762218
lh_cerebellum_dentate,6,13,13,decrease,0.6842105263157895,-0.00015245036
lh_cerebellum_motor,6,13,13,decrease,0.6842105263157895,-2.2677623e-05
rh_Ca,13,6,13,increase,0.6842105263157895,7.157193e-05
rh_cerebellum_motor,6,13,13,decrease,0.6842105263157895,-9.724961e-05
lh_precentral_smooth3mm,12,7,12,increase,0.631578947368421,0.00010008567
lh_GPi,12,7,12,increase,0.631578947368421,5.9080972e-05
rh_precentral_smooth3mm,12,7,12,increase,0.631578947368421,0.00011810284
lh_postcentral_smooth3mm,7,12,12,decrease,0.631578947368421,2.1940159e-05
lh_GPe,11,8,11,increase,0.5789473684210527,0.00022692209
lh_Pu,11,8,11,increase,0.5789473684210527,8.014378e-05
rh_GPe,8,11,11,decrease,0.5789473684210527,-7.205255e-05
rh_cerebellum_dentate,11,8,11,increase,0.5789473684210527,7.797425e-05
lh_paracentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-2.8469545e-05
lh_superiorfrontal_smooth3mm,10,9,10,increase,0.5263157894736842,-4.1002963e-06
lh_zi,10,9,10,increase,0.5263157894736842,6.7404995e-05
rh_paracentral_smooth3mm,9,10,10,decrease,0.5263157894736842,-1.14540835e-05
rh_postcentral_smooth3mm,10,9,10,increase,0.5263157894736842,5.8107024e-05
rh_superiorfrontal_smooth3mm,10,9,10,increase,0.5263157894736842,7.288957e-05
