roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_GPi,14,5,14,increase,0.7368421052631579,0.00017882847
rh_GPe,14,5,14,increase,0.7368421052631579,0.0001494621
rh_Pu,14,5,14,increase,0.7368421052631579,0.00012294593
lh_Ca,13,6,13,increase,0.6842105263157895,0.000111364454
lh_superiorfrontal_smooth3mm,13,6,13,increase,0.6842105263157895,4.2704785e-05
lh_cerebellum_motor,12,7,12,increase,0.631578947368421,7.038224e-05
lh_GPe,12,7,12,increase,0.631578947368421,8.080726e-05
lh_STH,7,12,12,decrease,0.631578947368421,-9.522701e-05
lh_postcentral_smooth3mm,12,7,12,increase,0.631578947368421,6.624867e-05
lh_paracentral_smooth3mm,12,7,12,increase,0.631578947368421,6.3986045e-05
lh_cerebellum_dentate,7,12,12,decrease,0.631578947368421,4.9011156e-05
rh_Ca,12,7,12,increase,0.631578947368421,7.4026226e-05
lh_Pu,11,8,11,increase,0.5789473684210527,8.6445936e-05
lh_zi,8,11,11,decrease,0.5789473684210527,3.1103184e-05
rh_GPi,11,8,11,increase,0.5789473684210527,6.353089e-05
lh_vim,11,8,11,increase,0.5789473684210527,7.581382e-05
rh_precentral_smooth3mm,11,8,11,increase,0.5789473684210527,-9.429871e-06
rh_STH,11,8,11,increase,0.5789473684210527,5.464556e-05
rh_cerebellum_motor,11,8,11,increase,0.5789473684210527,5.860017e-05
rh_paracentral_smooth3mm,11,8,11,increase,0.5789473684210527,6.3239804e-06
rh_superiorfrontal_smooth3mm,11,8,11,increase,0.5789473684210527,4.9504422e-05
rh_postcentral_smooth3mm,11,8,11,increase,0.5789473684210527,7.890006e-05
lh_precentral_smooth3mm,10,9,10,increase,0.5263157894736842,1.4110504e-05
rh_cerebellum_dentate,10,9,10,increase,0.5263157894736842,4.2770436e-05
