group_label,target,group_str,roi,n_subjects_group,n_roi,mean_delta,sem,p_value,n_consistent,consistency_threshold,consistent_direction,p_value_fdr,significant_fdr,classification
VIM (1st tx),vim,VIM_first,lh_Ca,6,6,0.0003701508976519335,0.0010896197308634251,0.7478824149014643,3,5,False,0.7483995192831743,False,neither
VIM (1st tx),vim,VIM_first,lh_GPe,6,6,0.0015946407802402498,0.0009644207189787955,0.15914230219177133,5,5,True,0.6365692087670853,False,consistency_threshold
VIM (1st tx),vim,VIM_first,lh_GPi,6,6,0.0011373323310787335,0.001190461982161738,0.38326543293959503,4,5,False,0.6782265002573679,False,neither
VIM (1st tx),vim,VIM_first,lh_Pu,6,6,0.00093675622095665,0.0013165991856489167,0.5085841708210782,3,5,False,0.6782265002573679,False,neither
VIM (1st tx),vim,VIM_first,lh_STH,6,6,0.0005661551840603331,0.0011148283602624288,0.6331682246721715,4,5,False,0.7236208281967674,False,neither
VIM (1st tx),vim,VIM_first,lh_cerebellum_dentate,6,6,0.0016330198074380332,0.0008892610906536998,0.1257318724930087,5,5,True,0.6035129879664418,False,consistency_threshold
VIM (1st tx),vim,VIM_first,lh_cerebellum_motor,6,6,0.0009272079914808,0.0010050071474372107,0.39855551880283663,4,5,False,0.6782265002573679,False,neither
VIM (1st tx),vim,VIM_first,lh_paracentral_smooth3mm,6,6,0.0007740769845744,0.0010881861144158857,0.5086698751930259,4,5,False,0.6782265002573679,False,neither
VIM (1st tx),vim,VIM_first,lh_postcentral_smooth3mm,6,6,0.0010483794224758999,0.0014110534423335886,0.49090802439481207,3,5,False,0.6782265002573679,False,neither
VIM (1st tx),vim,VIM_first,lh_precentral_smooth3mm,6,6,0.00038234392801921664,0.0009002609860536987,0.6887085983531055,3,5,False,0.7483995192831743,False,neither
VIM (1st tx),vim,VIM_first,lh_superiorfrontal_smooth3mm,6,6,0.0004801404041548667,0.0014164384861786996,0.7483995192831743,4,5,False,0.7483995192831743,False,neither
VIM (1st tx),vim,VIM_first,lh_vim,6,6,0.0020344136282801338,0.0010503467272080908,0.11050925982947202,5,5,True,0.6035129879664418,False,consistency_threshold
VIM (1st tx),vim,VIM_first,lh_zi,6,6,0.0008035480665663667,0.0008458996229900385,0.38576835550566196,3,5,False,0.6782265002573679,False,neither
VIM (1st tx),vim,VIM_first,rh_Ca,6,6,0.0015958528189608946,0.0007893961971575556,0.09916618147925436,5,5,True,0.6035129879664418,False,consistency_threshold
VIM (1st tx),vim,VIM_first,rh_GPe,6,6,0.00065806213145455,0.0010794133845902503,0.5687337555654839,4,5,False,0.6824805066785806,False,neither
VIM (1st tx),vim,VIM_first,rh_GPi,6,6,0.0026795877298960665,0.0011360324375474583,0.06485361758833541,5,5,True,0.6035129879664418,False,consistency_threshold
VIM (1st tx),vim,VIM_first,rh_Pu,6,6,0.0022808133314053,0.0009120916292188231,0.054447422005230416,5,5,True,0.6035129879664418,False,consistency_threshold
VIM (1st tx),vim,VIM_first,rh_STH,6,6,0.0011797457312544334,0.0015267163612336721,0.47460425547109436,3,5,False,0.6782265002573679,False,neither
VIM (1st tx),vim,VIM_first,rh_cerebellum_dentate,6,6,0.0014647787902504169,0.0011471604757477666,0.2577300824510027,4,5,False,0.6782265002573679,False,neither
VIM (1st tx),vim,VIM_first,rh_cerebellum_motor,6,6,0.0011676807577411352,0.0008470073363669392,0.22650702929769773,4,5,False,0.6782265002573679,False,neither
VIM (1st tx),vim,VIM_first,rh_paracentral_smooth3mm,6,6,0.0013341743809481335,0.0013329278797177355,0.36280678809597794,4,5,False,0.6782265002573679,False,neither
VIM (1st tx),vim,VIM_first,rh_postcentral_smooth3mm,6,6,0.0014104352643092499,0.0010753407280414096,0.2466434208250252,3,5,False,0.6782265002573679,False,neither
VIM (1st tx),vim,VIM_first,rh_precentral_smooth3mm,6,6,0.0007849539009233333,0.0012505238977814806,0.5577491452269476,3,5,False,0.6824805066785806,False,neither
VIM (1st tx),vim,VIM_first,rh_superiorfrontal_smooth3mm,6,6,0.0007004928581106,0.0009219918448900727,0.4816636857034965,4,5,False,0.6782265002573679,False,neither
VIM (2nd tx),vim,ZI_first,lh_Ca,10,10,-0.00078414306044576,0.0006265706153068588,0.24230748490269277,6,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,lh_GPe,10,10,-0.00042689533438532997,0.0007430222296501997,0.5796783800211432,5,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,lh_GPi,10,10,-0.000566771300509576,0.0008888820048474591,0.5396001410160879,5,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,lh_Pu,10,10,-0.00039734486490487005,0.0008811504875845201,0.6627019281681136,5,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,lh_STH,10,10,-0.00031242435798049995,0.0005637099005216199,0.5929243797216311,5,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,lh_cerebellum_dentate,10,10,0.00063855701591821,0.0005847160517415901,0.30316773173501516,6,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,lh_cerebellum_motor,10,10,2.9105693101880007e-05,0.000416453115332321,0.9458098951420677,5,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,lh_paracentral_smooth3mm,10,10,-3.21529339999e-05,0.0008252597118504155,0.9697720498800179,5,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,lh_postcentral_smooth3mm,10,10,0.00050424709916113,0.0006597928492889989,0.4642826515656525,6,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,lh_precentral_smooth3mm,10,10,0.0003976145060732786,0.0004075269759251084,0.3547186725594067,6,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,lh_superiorfrontal_smooth3mm,10,10,0.0002652143593877443,0.0009208187223420448,0.7798539416391416,7,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,lh_vim,10,10,-0.00078248283825815,0.0006666292156514005,0.27060420264787644,6,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,lh_zi,10,10,0.0002821373753249701,0.0007862493320874501,0.7279890204498508,5,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,rh_Ca,10,10,0.000365070253610598,0.000570304994027114,0.5380402929445617,7,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,rh_GPe,10,10,0.0004476030822843137,0.0006639702270141709,0.5171665745317556,7,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,rh_GPi,10,10,-0.00013465182855726003,0.0007983394431506087,0.8697899466446094,6,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,rh_Pu,10,10,0.00028352425433694994,0.0006912344810369123,0.6912726436686932,6,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,rh_STH,10,10,0.00091530978679657,0.0007975807727793352,0.28072030792242486,5,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,rh_cerebellum_dentate,10,10,0.0002446589060127701,0.0009418826978000352,0.8008971117969931,5,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,rh_cerebellum_motor,10,10,-0.0005678106099367199,0.0006086573627879057,0.37522592988161335,6,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,rh_paracentral_smooth3mm,10,10,4.242649301884997e-05,0.0009311549609638533,0.9646532864415478,6,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,rh_postcentral_smooth3mm,10,10,-0.0008509328588843301,0.0006890788109685537,0.24814016985336604,6,8,False,0.9697720498800179,False,neither
VIM (2nd tx),vim,ZI_first,rh_precentral_smooth3mm,10,10,-0.0010191708570345976,0.0003996141620298753,0.031174932862987358,8,8,True,0.7481983887116965,False,consistency_threshold
VIM (2nd tx),vim,ZI_first,rh_superiorfrontal_smooth3mm,10,10,0.00012072208337483743,0.0009084365060772734,0.8972042065532344,5,8,False,0.9697720498800179,False,neither
ZI (1st tx),zi,ZI_first,lh_Ca,10,10,0.00037645539268852,0.0007463984487476865,0.6261226212757093,5,8,False,0.937444822432638,False,neither
ZI (1st tx),zi,ZI_first,lh_GPe,10,10,0.0006556538864970063,0.0006068971701200485,0.30809017290855645,7,8,False,0.9242705187256693,False,neither
ZI (1st tx),zi,ZI_first,lh_GPi,10,10,0.00071474951691926,0.0006358802540644968,0.2900850002737472,5,8,False,0.9242705187256693,False,neither
ZI (1st tx),zi,ZI_first,lh_Pu,10,10,0.0008743542246520599,0.0007066001784603228,0.2472453948801379,5,8,False,0.9242705187256693,False,neither
ZI (1st tx),zi,ZI_first,lh_STH,10,10,-8.064871653912998e-05,0.0007897618531128454,0.9209022070758486,6,8,False,0.9609414334704506,False,neither
ZI (1st tx),zi,ZI_first,lh_cerebellum_dentate,10,10,0.00091564055765045,0.0007197913027264789,0.23522414024604618,6,8,False,0.9242705187256693,False,neither
ZI (1st tx),zi,ZI_first,lh_cerebellum_motor,10,10,0.00025671515613793,0.0005481070568615827,0.6506582519572526,6,8,False,0.937444822432638,False,neither
ZI (1st tx),zi,ZI_first,lh_paracentral_smooth3mm,10,10,0.00011613504029811265,0.0008341307109505872,0.8923350887959848,6,8,False,0.9609414334704506,False,neither
ZI (1st tx),zi,ZI_first,lh_postcentral_smooth3mm,10,10,0.001497667096555216,0.0007190343673975167,0.06695114960228057,8,8,True,0.7306079881199878,False,consistency_threshold
ZI (1st tx),zi,ZI_first,lh_precentral_smooth3mm,10,10,0.0009642706252634298,0.0005446496368747279,0.11042948946598306,7,8,False,0.7306079881199878,False,neither
ZI (1st tx),zi,ZI_first,lh_superiorfrontal_smooth3mm,10,10,0.0012776632327586098,0.0007479413642673198,0.12176799801999798,7,8,False,0.7306079881199878,False,neither
ZI (1st tx),zi,ZI_first,lh_vim,10,10,0.00033907273318618006,0.0007551133438798416,0.6640234158897853,5,8,False,0.937444822432638,False,neither
ZI (1st tx),zi,ZI_first,lh_zi,10,10,0.00039074239321050996,0.0005252151976785682,0.47587075188908384,8,8,True,0.937444822432638,False,consistency_threshold
ZI (1st tx),zi,ZI_first,rh_Ca,10,10,0.00179217583499846,0.0007262569949736975,0.035705436541016905,8,8,True,0.7306079881199878,False,consistency_threshold
ZI (1st tx),zi,ZI_first,rh_GPe,10,10,-7.388382218779201e-05,0.0006244489750897645,0.9084140208477687,5,8,False,0.9609414334704506,False,neither
ZI (1st tx),zi,ZI_first,rh_GPi,10,10,-0.00056388522498311,0.0007372230113067186,0.46392753797136044,5,8,False,0.937444822432638,False,neither
ZI (1st tx),zi,ZI_first,rh_Pu,10,10,0.0004136728588491614,0.0006404248116465074,0.5344424029988362,6,8,False,0.937444822432638,False,neither
ZI (1st tx),zi,ZI_first,rh_STH,10,10,-0.00028197141364214,0.0005480834709366332,0.6193191360703977,6,8,False,0.937444822432638,False,neither
ZI (1st tx),zi,ZI_first,rh_cerebellum_dentate,10,10,0.00072416458278893,0.0009401447606711648,0.4608800345700375,6,8,False,0.937444822432638,False,neither
ZI (1st tx),zi,ZI_first,rh_cerebellum_motor,10,10,0.0005312760826200101,0.0006128921278949341,0.4085481156229354,7,8,False,0.937444822432638,False,neither
ZI (1st tx),zi,ZI_first,rh_paracentral_smooth3mm,10,10,-0.00033562919124959986,0.0010883711983257528,0.7648133461144148,6,8,False,0.9609414334704506,False,neither
ZI (1st tx),zi,ZI_first,rh_postcentral_smooth3mm,10,10,-0.00019929176196455817,0.0007879405599668894,0.8060066547880205,5,8,False,0.9609414334704506,False,neither
ZI (1st tx),zi,ZI_first,rh_precentral_smooth3mm,10,10,3.7701660767197696e-05,0.0010975342179554554,0.9733468639710757,6,8,False,0.9733468639710757,False,neither
ZI (1st tx),zi,ZI_first,rh_superiorfrontal_smooth3mm,10,10,-0.00020331745035948,0.0008171314895021361,0.8090862380023642,5,8,False,0.9609414334704506,False,neither
ZI (2nd tx),zi,VIM_first,lh_Ca,6,6,-0.0013874750584363502,0.0007024843661901973,0.10523570673678947,5,5,True,0.57087281636218,False,consistency_threshold
ZI (2nd tx),zi,VIM_first,lh_GPe,6,6,-0.0014343541115521996,0.0008862887671724396,0.16650457143896918,5,5,True,0.57087281636218,False,consistency_threshold
ZI (2nd tx),zi,VIM_first,lh_GPi,6,6,-0.0006710463979591998,0.0010179107860189857,0.5388890118288656,3,5,False,0.7568010831269735,False,neither
ZI (2nd tx),zi,VIM_first,lh_Pu,6,6,-0.0018752251441279833,0.0013437307191371335,0.22166367583088536,5,5,True,0.6193103168145215,False,consistency_threshold
ZI (2nd tx),zi,VIM_first,lh_STH,6,6,-0.0015255830561120998,0.0008448178941197671,0.13077531127586647,4,5,False,0.57087281636218,False,neither
