roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_cerebellum_dentate,5,14,14,decrease,0.7368421052631579,-8.4924366e-05
rh_Ca,5,14,14,decrease,0.7368421052631579,-0.00014462837
lh_paracentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-7.890291e-05
lh_GPi,6,13,13,decrease,0.6842105263157895,-4.6124664e-05
rh_cerebellum_dentate,13,6,13,increase,0.6842105263157895,4.151662e-05
rh_STH,7,12,12,decrease,0.631578947368421,-0.0001300606
lh_zi,12,7,12,increase,0.631578947368421,0.00010196861
lh_Pu,12,7,12,increase,0.631578947368421,1.4701935e-05
rh_postcentral_smooth3mm,12,7,12,increase,0.631578947368421,2.9053419e-05
rh_superiorfrontal_smooth3mm,7,12,12,decrease,0.631578947368421,-9.664408e-05
lh_GPe,11,8,11,increase,0.5789473684210527,4.670701e-05
lh_Ca,11,8,11,increase,0.5789473684210527,1.17700665e-05
rh_cerebellum_motor,8,11,11,decrease,0.5789473684210527,-2.25715e-05
rh_Pu,11,8,11,increase,0.5789473684210527,9.3800074e-05
lh_postcentral_smooth3mm,11,8,11,increase,0.5789473684210527,4.0783e-05
lh_vim,11,8,11,increase,0.5789473684210527,2.2592545e-05
rh_paracentral_smooth3mm,11,8,11,increase,0.5789473684210527,5.2087194e-05
rh_GPi,8,11,11,decrease,0.5789473684210527,-9.3666196e-05
lh_cerebellum_motor,10,9,10,increase,0.5263157894736842,-1.7588195e-06
lh_STH,10,9,10,increase,0.5263157894736842,4.8627485e-06
rh_GPe,10,9,10,increase,0.5263157894736842,-7.4441623e-06
lh_superiorfrontal_smooth3mm,9,10,10,decrease,0.5263157894736842,-2.609483e-05
lh_precentral_smooth3mm,9,10,10,decrease,0.5263157894736842,2.7878748e-05
rh_precentral_smooth3mm,10,9,10,increase,0.5263157894736842,-1.7308272e-05
