roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_zi,2,17,17,decrease,0.8947368421052632,-0.00024247728
lh_GPi,3,16,16,decrease,0.8421052631578947,-0.00020468923
lh_postcentral_smooth3mm,4,15,15,decrease,0.7894736842105263,-9.587274e-05
rh_superiorfrontal_smooth3mm,4,15,15,decrease,0.7894736842105263,-0.000121511126
rh_precentral_smooth3mm,5,14,14,decrease,0.7368421052631579,-0.00015508072
lh_paracentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-0.00011109745
rh_STH,6,13,13,decrease,0.6842105263157895,-2.9777768e-05
rh_paracentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-0.00013898542
rh_GPi,13,6,13,increase,0.6842105263157895,0.00010103474
rh_GPe,7,12,12,decrease,0.631578947368421,-8.370675e-05
lh_vim,7,12,12,decrease,0.631578947368421,-9.8181095e-05
lh_cerebellum_dentate,12,7,12,increase,0.631578947368421,0.000106234496
lh_GPe,7,12,12,decrease,0.631578947368421,-7.698729e-05
lh_Pu,7,12,12,decrease,0.631578947368421,6.3252396e-06
lh_precentral_smooth3mm,7,12,12,decrease,0.631578947368421,-7.916166e-05
lh_STH,8,11,11,decrease,0.5789473684210527,-1.3528918e-05
rh_cerebellum_motor,8,11,11,decrease,0.5789473684210527,-0.00015525763
rh_postcentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-0.00013584562
rh_Ca,8,11,11,decrease,0.5789473684210527,-2.6508507e-05
lh_superiorfrontal_smooth3mm,8,11,11,decrease,0.5789473684210527,-2.7450518e-05
lh_cerebellum_motor,9,10,10,decrease,0.5263157894736842,-6.2237086e-05
lh_Ca,9,10,10,decrease,0.5263157894736842,2.6767642e-05
rh_cerebellum_dentate,9,10,10,decrease,0.5263157894736842,-6.278455e-05
rh_Pu,9,10,10,decrease,0.5263157894736842,3.5809502e-05
