roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
lh_cerebellum_motor,16,3,16,increase,0.8421052631578947,0.00014191576
rh_Pu,15,4,15,increase,0.7894736842105263,0.00015057255
rh_GPe,5,14,14,decrease,0.7368421052631579,-3.109531e-05
lh_cerebellum_dentate,5,14,14,decrease,0.7368421052631579,-0.0001085582
lh_zi,5,14,14,decrease,0.7368421052631579,-5.4547905e-05
lh_postcentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-6.0644674e-05
lh_GPe,13,6,13,increase,0.6842105263157895,2.0516365e-05
lh_paracentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-9.057809e-05
rh_cerebellum_motor,13,6,13,increase,0.6842105263157895,3.370811e-05
rh_precentral_smooth3mm,13,6,13,increase,0.6842105263157895,4.8661946e-05
lh_precentral_smooth3mm,6,13,13,decrease,0.6842105263157895,-1.4569482e-05
lh_GPi,12,7,12,increase,0.631578947368421,1.3163723e-05
rh_cerebellum_dentate,12,7,12,increase,0.631578947368421,9.548951e-05
lh_superiorfrontal_smooth3mm,12,7,12,increase,0.631578947368421,-1.4259296e-05
lh_Pu,12,7,12,increase,0.631578947368421,-8.929561e-06
lh_Ca,8,11,11,decrease,0.5789473684210527,-8.55263e-05
lh_STH,8,11,11,decrease,0.5789473684210527,-2.4083858e-05
rh_STH,11,8,11,increase,0.5789473684210527,4.8872243e-05
lh_vim,8,11,11,decrease,0.5789473684210527,-3.9286922e-05
rh_GPi,8,11,11,decrease,0.5789473684210527,1.1893602e-06
rh_postcentral_smooth3mm,11,8,11,increase,0.5789473684210527,6.123818e-05
rh_paracentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-3.9879615e-05
rh_superiorfrontal_smooth3mm,11,8,11,increase,0.5789473684210527,-4.195226e-06
rh_Ca,9,10,10,decrease,0.5263157894736842,-2.4259092e-05
