roi,n_positive,n_negative,n_consistent,consistent_direction,consistency_fraction,mean_delta
rh_superiorfrontal_smooth3mm,18,1,18,increase,0.9473684210526315,0.00019955626
lh_cerebellum_motor,16,3,16,increase,0.8421052631578947,0.00023119878
rh_Ca,16,3,16,increase,0.8421052631578947,0.0001356337
lh_GPe,15,4,15,increase,0.7894736842105263,0.00012892995
rh_postcentral_smooth3mm,15,4,15,increase,0.7894736842105263,8.748696e-05
rh_cerebellum_dentate,15,4,15,increase,0.7894736842105263,0.00013811605
lh_paracentral_smooth3mm,5,14,14,decrease,0.7368421052631579,-9.252245e-05
rh_Pu,14,5,14,increase,0.7368421052631579,0.00012670003
rh_STH,14,5,14,increase,0.7368421052631579,0.0002154105
lh_superiorfrontal_smooth3mm,14,5,14,increase,0.7368421052631579,0.00014772466
rh_precentral_smooth3mm,14,5,14,increase,0.7368421052631579,2.8369614e-05
lh_zi,6,13,13,decrease,0.6842105263157895,-3.8327496e-05
lh_GPi,12,7,12,increase,0.631578947368421,9.892055e-05
rh_GPi,12,7,12,increase,0.631578947368421,0.00013863432
lh_Ca,11,8,11,increase,0.5789473684210527,6.0162194e-05
lh_Pu,11,8,11,increase,0.5789473684210527,0.00019813694
rh_cerebellum_motor,11,8,11,increase,0.5789473684210527,4.233421e-05
rh_GPe,11,8,11,increase,0.5789473684210527,5.1724957e-05
lh_precentral_smooth3mm,8,11,11,decrease,0.5789473684210527,3.6372174e-05
lh_postcentral_smooth3mm,8,11,11,decrease,0.5789473684210527,-8.876302e-06
rh_paracentral_smooth3mm,11,8,11,increase,0.5789473684210527,2.5621543e-05
lh_cerebellum_dentate,9,10,10,decrease,0.5263157894736842,3.5944595e-06
lh_STH,10,9,10,increase,0.5263157894736842,1.6420504e-06
lh_vim,10,9,10,increase,0.5263157894736842,0.00011975682
