group_label,target,group_str,roi,n_subjects_group,n_roi,mean_delta,sem,p_value,n_consistent,consistency_threshold,consistent_direction,p_value_fdr,significant_fdr,classification
VIM (2nd tx),vim,ZI_first,lh_precentral_smooth3mm,10,10,0.0007030799519270499,0.0005158678291126991,0.20603437856234685,7,8,False,0.6318778515093195,False,neither
VIM (2nd tx),vim,ZI_first,lh_superiorfrontal_smooth3mm,10,10,0.00044790524989367,0.00035087625740970105,0.23372015652907188,7,8,False,0.6318778515093195,False,neither
VIM (2nd tx),vim,ZI_first,lh_vim,10,10,0.00029623976442962,0.0005401345053229126,0.5967193038812463,5,8,False,0.8643505562232687,False,neither
VIM (2nd tx),vim,ZI_first,lh_zi,10,10,0.0005864235805347394,0.00038426597594169536,0.16133092891401135,8,8,True,0.6318778515093195,False,consistency_threshold
VIM (2nd tx),vim,ZI_first,rh_Ca,10,10,0.0007797226309776219,0.0006517867173126762,0.2621488352498867,6,8,False,0.6318778515093195,False,neither
VIM (2nd tx),vim,ZI_first,rh_GPe,10,10,0.00036775059998036733,0.0005141784328611364,0.4926087200535693,5,8,False,0.8444720915204045,False,neither
VIM (2nd tx),vim,ZI_first,rh_GPi,10,10,-0.00014852527529002,0.0006653270904493115,0.8283359497139658,6,8,False,0.8643505562232687,False,neither
VIM (2nd tx),vim,ZI_first,rh_Pu,10,10,0.00010198769159614675,0.0007190416501929778,0.8903319809347486,7,8,False,0.8903319809347486,False,neither
VIM (2nd tx),vim,ZI_first,rh_STH,10,10,0.00025266651064159,0.0006723496373187919,0.7157730912565607,5,8,False,0.8643505562232687,False,neither
VIM (2nd tx),vim,ZI_first,rh_cerebellum_dentate,10,10,0.0005111675709486001,0.0006347542113003438,0.4414019591472986,6,8,False,0.8148959245796281,False,neither
VIM (2nd tx),vim,ZI_first,rh_cerebellum_motor,10,10,0.0006160280667245301,0.000709690145716517,0.40793026740988264,7,8,False,0.8148959245796281,False,neither
VIM (2nd tx),vim,ZI_first,rh_paracentral_smooth3mm,10,10,0.0004333712160587033,0.00034609046417052056,0.24206171442573773,8,8,True,0.6318778515093195,False,consistency_threshold
VIM (2nd tx),vim,ZI_first,rh_postcentral_smooth3mm,10,10,-6.952944677324999e-05,0.00026954808494359235,0.8022483861228911,5,8,False,0.8643505562232687,False,neither
VIM (2nd tx),vim,ZI_first,rh_precentral_smooth3mm,10,10,-0.00020768111571668762,0.0006540568733293904,0.7580863227517787,5,8,False,0.8643505562232687,False,neither
VIM (2nd tx),vim,ZI_first,rh_superiorfrontal_smooth3mm,10,10,0.00024348208680746996,0.00044098830019110723,0.5943037164713062,6,8,False,0.8643505562232687,False,neither
ZI (1st tx),zi,ZI_first,lh_Ca,10,10,0.0004256011918187001,0.000536175189359707,0.4477497867955786,6,8,False,0.5896888661687184,False,neither
ZI (1st tx),zi,ZI_first,lh_GPe,10,10,0.00012443647719918605,0.0004907666491420212,0.8055363734082795,7,8,False,0.8405596939912483,False,neither
ZI (1st tx),zi,ZI_first,lh_GPi,10,10,0.00094391177408396,0.0005360265041029409,0.11209570392822035,7,8,False,0.3501541240005478,False,neither
ZI (1st tx),zi,ZI_first,lh_Pu,10,10,0.0010500313714146398,0.0006540738131472978,0.14287485853990425,8,8,True,0.3501541240005478,False,consistency_threshold
