run_name,epoch,val_total,val_recon,val_cls
sweep_BATCH_SIZE_1,346,1.243126,0.349721,0.583808
sweep_BATCH_SIZE_2,539,1.59452,0.738522,0.582233
sweep_BATCH_SIZE_3,669,2.009281,1.168508,0.59008
sweep_BATCH_SIZE_4,819,2.351195,1.555519,0.591785
