epoch,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,627.229926,29.110539,610.437906,57.296549,0.694484,481.214729,5.543289,527.361732,1.700529,0.697367,1.00e-03
2,411.131775,8.973985,445.907724,1.854189,0.694773,330.430176,2.441210,364.315826,0.310236,0.696443,9.99e-04
3,232.162704,5.163102,251.946926,0.771439,0.693873,137.288940,1.069791,151.237961,0.158195,0.695975,9.98e-04
4,153.490980,4.159651,165.674168,0.634807,0.692196,135.679466,1.086910,149.459850,0.130856,0.696136,9.96e-04
5,138.720554,3.882217,149.587973,0.586745,0.693149,131.636761,1.083233,144.987839,0.114618,0.696405,9.94e-04
6,134.336743,3.465427,145.160867,0.559650,0.693969,129.673264,1.086979,142.808746,0.108207,0.697252,9.91e-04
7,130.848948,3.454170,141.317241,0.539176,0.694231,126.468105,1.082621,139.258255,0.101661,0.698255,9.88e-04
8,127.001748,3.372152,137.141829,0.521939,0.694245,120.393175,1.065854,132.530552,0.096097,0.699220,9.84e-04
9,122.860829,3.270355,132.667463,0.496782,0.696933,117.593292,1.068790,129.422951,0.089732,0.699648,9.80e-04
10,118.727277,3.150212,128.210307,0.481264,0.696762,114.780050,1.072419,126.296331,0.086861,0.700002,9.76e-04
11,114.506804,3.176799,123.520272,0.455105,0.698491,107.773912,1.053166,118.536699,0.081199,0.699602,9.70e-04
12,109.862372,2.986534,118.568567,0.436700,0.697530,104.401234,1.055657,114.792940,0.075077,0.699311,9.65e-04
13,105.387032,2.965381,113.634010,0.420021,0.695639,101.610144,1.062247,111.687710,0.072582,0.698611,9.59e-04
14,100.746517,2.892133,108.568770,0.402330,0.696095,94.151529,1.042128,103.426163,0.066919,0.698406,9.52e-04
15,95.992245,2.850464,103.345132,0.385335,0.694106,90.469086,1.043971,99.336576,0.063163,0.697502,9.46e-04
16,91.126235,2.617763,98.193627,0.362699,0.695566,87.674622,1.052469,96.223406,0.062903,0.697232,9.38e-04
17,86.406879,2.569284,93.013024,0.348056,0.695536,80.148067,1.032626,87.886509,0.056874,0.696657,9.30e-04
18,81.635338,2.537442,87.760592,0.330831,0.693609,76.399521,1.034353,83.723911,0.052713,0.696472,9.22e-04
19,76.946810,2.450268,82.654558,0.314501,0.694176,73.705564,1.043217,80.723406,0.051090,0.696269,9.14e-04
20,72.271381,2.313259,77.617235,0.293959,0.693753,66.439461,1.024360,72.672920,0.047015,0.695958,9.05e-04
21,67.724099,2.293991,72.595763,0.282090,0.694410,62.855445,1.025851,68.693710,0.042521,0.695739,8.95e-04
22,63.209103,2.104517,67.781918,0.268786,0.694055,60.420725,1.034899,65.980185,0.041743,0.695801,8.85e-04
23,58.959877,2.049660,63.129597,0.254616,0.693931,53.670291,1.017590,58.499553,0.039226,0.695597,8.75e-04
24,54.810998,2.028001,58.557239,0.238865,0.693060,50.434867,1.018877,54.906425,0.036166,0.695474,8.65e-04
