epoch,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
39,0.958357,1.001681,0.000639,0.000095,0.561836,1.005556,0.995837,0.001640,0.000007,1.078201,6.70e-04
40,0.952884,0.999909,0.000501,0.000068,0.524535,1.009246,0.995838,0.000753,0.000008,1.123079,6.55e-04
41,0.954009,1.001873,0.000590,0.000014,0.517800,0.990792,0.995836,0.000891,0.000001,0.937367,6.40e-04
42,0.946810,1.002476,0.000279,0.000065,0.442714,1.010379,0.995836,0.000740,-0.000002,1.134622,6.25e-04
43,0.960065,1.000472,0.000558,0.000034,0.591080,0.983659,0.995836,0.001452,0.000003,0.860971,6.09e-04
44,0.955172,0.998771,0.000443,0.000068,0.558177,0.983774,0.995839,0.001656,0.000008,0.860217,5.94e-04
45,0.953928,0.998969,0.000726,0.000042,0.541650,1.064538,0.995838,0.001929,0.000006,1.665410,5.79e-04
46,0.953957,0.998680,0.000467,0.000161,0.545797,0.997709,0.995834,0.000810,0.000020,1.007107,5.63e-04
47,0.958176,0.998758,0.000487,0.000108,0.587578,1.041138,0.995828,0.001589,0.000001,1.434620,5.48e-04
48,0.954301,0.998805,0.000383,0.000083,0.549572,1.107526,0.995835,0.001001,0.000001,2.103727,5.32e-04
49,0.958617,0.998136,0.000461,0.000090,0.597989,1.041110,0.995836,0.001119,0.000007,1.438442,5.16e-04
50,0.950148,0.998542,0.000457,0.000017,0.510333,1.055485,0.995835,0.001852,0.000001,1.575657,5.01e-04
51,0.939028,0.998660,0.000310,0.000023,0.399350,1.169023,0.995838,0.000313,-0.000002,2.724881,4.85e-04
52,0.935426,0.999981,0.000186,0.000050,0.352308,1.253307,0.995835,0.000534,0.000002,3.565735,4.69e-04
53,0.929608,0.999645,0.000210,0.000082,0.296647,1.267473,0.995830,0.000808,0.000002,3.704977,4.53e-04
54,0.924109,0.999385,0.000277,0.000046,0.243719,1.357071,0.995830,0.000832,0.000012,4.600634,4.38e-04
55,0.922156,0.999756,0.000269,0.000064,0.220753,1.389968,0.995834,0.000744,0.000008,4.930406,4.22e-04
56,0.916081,0.998819,0.000177,0.000033,0.169548,1.484681,0.995833,0.000718,0.000001,5.877843,4.07e-04
57,0.917283,1.000554,0.000190,0.000103,0.165211,1.390528,0.995830,0.000806,-0.000004,4.935586,3.92e-04
58,0.914348,0.998846,0.000236,0.000013,0.151629,1.538483,0.995832,0.000913,-0.000003,6.414163,3.76e-04
59,0.909494,0.998746,0.000184,0.000043,0.104180,1.608825,0.995834,0.001006,0.000002,7.116678,3.61e-04
60,0.906312,0.999268,0.000190,0.000033,0.067703,1.647578,0.995835,0.000817,-0.000001,7.505930,3.46e-04
61,0.905831,0.999144,0.000180,0.000040,0.064037,1.639516,0.995838,0.000934,0.000003,7.424183,3.31e-04
62,0.906421,0.997875,0.000197,0.000028,0.081314,1.710594,0.995840,0.000996,-0.000002,8.134441,3.17e-04
63,0.902228,0.998504,0.000210,0.000016,0.033707,1.761605,0.995836,0.001155,-0.000001,8.643144,3.02e-04
64,0.901464,0.998152,0.000224,0.000029,0.028996,1.747884,0.995832,0.001161,0.000005,8.505862,2.88e-04
65,0.901443,0.997655,0.000248,0.000040,0.032950,1.773290,0.995833,0.000654,-0.000002,8.764529,2.74e-04
66,0.900707,0.998211,0.000273,0.000001,0.020702,1.779198,0.995833,0.000206,0.000006,8.827567,2.60e-04
67,0.899113,0.997360,0.000261,0.000023,0.012327,1.811793,0.995834,0.000207,-0.000001,9.153567,2.46e-04
68,0.899077,0.997501,0.000227,0.000005,0.011177,1.855240,0.995834,0.000190,-0.000001,9.588193,2.33e-04
69,0.898782,0.997686,0.000209,0.000013,0.006643,1.845947,0.995833,0.000148,-0.000006,9.495689,2.20e-04
