epoch,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,279.176642,31.347545,203.525709,75.245612,0.696680,96.139145,1.558587,104.446476,0.739392,0.691416,1.00e-03
2,61.217118,5.278345,61.828832,0.834476,0.696326,25.756195,1.014783,27.440797,0.085860,0.688994,9.99e-04
3,13.987044,2.336021,12.912296,0.215377,0.697197,4.176317,0.996155,3.545181,0.022418,0.689383,9.98e-04
4,2.036220,1.192499,0.950973,0.041427,0.698107,1.011962,0.995877,0.043364,0.007971,0.694703,9.96e-04
5,1.031469,1.035590,0.021718,0.011427,0.696083,0.984052,0.995890,0.018848,0.001859,0.691145,9.94e-04
6,1.000119,1.020141,0.009960,0.003850,0.695625,0.973440,0.995830,0.007446,0.000561,0.699867,9.91e-04
7,0.991894,1.016205,0.006732,0.001776,0.696521,0.973123,0.995845,0.008876,0.000124,0.687624,9.88e-04
8,0.991542,1.018060,0.004831,0.001511,0.695793,0.970972,0.995844,0.005426,0.000401,0.694677,9.84e-04
9,0.982091,1.009675,0.004171,0.001106,0.686344,0.971227,0.995825,0.005830,0.000175,0.695798,9.80e-04
10,0.979965,1.009766,0.002630,0.000546,0.683169,0.967871,0.995827,0.005213,0.000067,0.668752,9.76e-04
11,0.979161,1.008871,0.002698,0.000488,0.683099,0.970643,0.995850,0.004193,0.001046,0.696640,9.70e-04
12,0.975645,1.005218,0.001889,0.000470,0.688252,0.968934,0.995824,0.003443,0.000093,0.695096,9.65e-04
13,0.973750,1.003566,0.002338,0.000873,0.676513,0.969777,0.995817,0.004019,0.000201,0.697436,9.59e-04
14,0.974003,1.003984,0.001864,0.000339,0.684352,0.970390,0.995818,0.002758,0.000023,0.716504,9.52e-04
15,0.977254,1.003181,0.001943,0.000614,0.720904,0.966070,0.995812,0.003037,0.000105,0.670104,9.46e-04
16,0.973962,1.002546,0.001230,0.000152,0.704267,0.965246,0.995835,0.002634,0.000032,0.665956,9.38e-04
17,0.973187,1.002886,0.001165,0.000152,0.694042,0.965276,0.995840,0.002239,0.000009,0.669976,9.30e-04
18,0.972938,1.001712,0.001446,0.000190,0.699256,0.968468,0.995838,0.002897,0.000438,0.692115,9.22e-04
19,0.971370,1.000170,0.001160,0.000180,0.700099,0.963096,0.995843,0.001898,0.000013,0.651178,9.14e-04
20,0.972461,1.001407,0.001152,0.000043,0.701185,0.965848,0.995841,0.002237,0.000034,0.675470,9.05e-04
21,0.970708,1.000487,0.000898,0.000065,0.694037,0.966171,0.995837,0.001460,0.000004,0.686009,8.95e-04
22,0.970185,0.999982,0.001010,0.000176,0.691337,0.966722,0.995837,0.002798,0.000068,0.678892,8.85e-04
23,0.971021,1.000471,0.000952,0.000071,0.696773,0.965717,0.995825,0.001453,0.000005,0.681618,8.75e-04
24,0.971141,1.001298,0.000762,0.000018,0.692715,0.966065,0.995837,0.000951,-0.000003,0.689591,8.65e-04
25,0.970855,1.000076,0.001785,0.000035,0.691491,0.970439,0.995838,0.004403,0.000200,0.700424,8.54e-04
26,0.968494,0.998219,0.001082,0.000214,0.689314,0.968300,0.995831,0.002544,0.000421,0.693835,8.42e-04
27,0.968523,0.999087,0.000661,0.000100,0.686592,0.965769,0.995834,0.000811,0.000012,0.687779,8.31e-04
28,0.969279,1.000815,0.000419,0.000024,0.681463,0.966232,0.995832,0.000697,-0.000001,0.693560,8.19e-04
29,0.971734,1.002700,0.000590,0.000150,0.686379,0.968625,0.995841,0.002538,0.000216,0.698894,8.07e-04
30,0.968946,0.998950,0.001097,0.000739,0.682387,0.969258,0.995856,0.003176,0.000492,0.696857,7.94e-04
31,0.967718,1.000278,0.000717,0.000126,0.667097,0.967954,0.995834,0.000781,0.000004,0.709975,7.81e-04
32,0.964882,1.000881,0.000469,0.000053,0.636193,0.982964,0.995837,0.000699,0.000004,0.860776,7.68e-04
33,0.963770,1.002986,0.000371,0.000119,0.606416,0.985396,0.995830,0.000609,0.000019,0.885838,7.55e-04
34,0.963739,1.005378,0.000866,0.000362,0.577928,0.975074,0.995843,0.002437,0.000015,0.766082,7.41e-04
35,0.971030,0.999790,0.001245,0.000617,0.695431,0.972235,0.995834,0.000367,0.000059,0.756004,7.27e-04
36,0.965167,0.998956,0.000375,0.000049,0.657253,0.979853,0.995834,0.000493,-0.000002,0.831608,7.13e-04
37,0.962578,1.000959,0.000284,0.000080,0.613870,1.023089,0.995829,0.000779,0.000002,1.261404,6.99e-04
38,0.966177,1.003493,0.000380,0.000117,0.625864,0.978325,0.995842,0.000914,0.000020,0.812272,6.84e-04
