coord_index,mean_pre,mean_post,delta,t_statistic,p_value,p_value_fdr,wilcoxon_p,significant
0,0.0050822506,0.003535017,-0.0015472337,1.545317782382162,0.13966942497543894,0.5231384597530283,0.08742904663085938,False
1,0.25364393,0.25444856,0.00080466585,-0.4607261308493539,0.6505128471464889,0.8795666665642667,0.76800537109375,False
2,-0.0012829715,-0.0031650444,-0.0018820731,1.41002573305296,0.1755780665179282,0.5812239443352106,0.5412178039550781,False
3,-0.0033896158,-0.0015127799,0.001876836,-1.4950395179442308,0.15222983873174392,0.5412616488239784,0.25792694091796875,False
4,6.391005e-06,-0.00018821598,-0.00019460701,0.16545526524077775,0.8704297588479314,0.9388905263977686,0.9529838562011719,False
5,-0.003363772,-0.0032697849,9.398719e-05,-0.1215154050069274,0.9046290966466675,0.9649377030897787,0.70855712890625,False
6,-0.00581829,-0.0051910416,0.00062724797,-0.47676149597415884,0.6392686356630419,0.8771601583990293,0.9843215942382812,False
7,-0.0016036739,-0.001766297,-0.00016262342,0.1706214662256021,0.8664246441646837,0.9388905263977686,0.5948867797851562,False
8,-0.0021215626,-0.0009407619,0.001180801,-0.9244661764870868,0.3674719411282308,0.7349438822564616,0.5412178039550781,False
9,0.0026697894,0.0042316043,0.0015618152,-1.6593441459656038,0.11436827520480167,0.5231384597530283,0.2934989929199219,False
10,-0.003344008,-0.0008645039,0.0024795043,-2.0914803342019592,0.050932809543602284,0.4570140937441894,0.22532272338867188,False
11,0.32078123,0.32231307,0.0015318551,-0.7469669364263678,0.4647296835359902,0.7561703325331366,0.37359619140625,False
12,-0.1957756,-0.19176431,0.0040112827,-2.183048998837405,0.04251893530932472,0.45353530996613034,0.07283401489257812,False
13,0.002901844,0.00056425284,-0.0023375913,2.253356597981712,0.036945187503605134,0.45353530996613034,0.020412445068359375,False
14,0.0014998694,0.0012304557,-0.00026941366,0.3092668213257629,0.7606698906328785,0.9374488965583494,0.9843215942382812,False
15,0.2755004,0.2755227,2.2314096e-05,-0.010397190264033799,0.9918187621810548,0.9930359451397355,0.8595733642578125,False
16,-0.0023420572,-0.0067334473,-0.00439139,2.6154020089073984,0.017522227409354958,0.45353530996613034,0.005329132080078125,False
17,-0.0054553184,-0.0071868277,-0.0017315083,1.7754594619133868,0.0927322013709475,0.5127792910480747,0.0289306640625,False
18,-0.0005383285,0.0005805755,0.0011189039,-0.8154817125536968,0.425456353198568,0.7426147255829552,0.5412178039550781,False
19,0.0008307617,0.0012239347,0.00039317316,-0.2951385210435528,0.7712652992392792,0.9374488965583494,0.7380905151367188,False
20,-0.0045352555,-0.0049089096,-0.00037365398,0.28007523423397707,0.7826130752110209,0.9374488965583494,0.5677604675292969,False
21,-0.0021916358,0.00046157758,0.0026532132,-3.191541960472518,0.00505560389054589,0.45353530996613034,0.000965118408203125,False
22,0.2615518,0.2605635,-0.0009882717,0.6956874316664412,0.4955094166124896,0.7672403870128871,0.5412178039550781,False
23,0.0020946085,0.0032446196,0.001150011,-1.537009661983556,0.1416833328497785,0.5231384597530283,0.24125289916992188,False
24,-0.00029568237,-0.00045060876,-0.00015492646,0.23105239125346766,0.8198800538752109,0.9374488965583494,0.22532272338867188,False
25,0.0038889085,0.0052229427,0.0013340338,-1.8141035642200658,0.08636697420404366,0.5127792910480747,0.104156494140625,False
26,-0.000950747,-0.0020102072,-0.0010594605,0.9512258678955239,0.3540887645630004,0.7323842237986243,0.3320655822753906,False
27,0.002664794,0.0030398185,0.00037502474,-0.24869207706737076,0.806414347573853,0.9374488965583494,0.5677604675292969,False
28,-0.006244611,-0.005806433,0.00043817773,-0.4762929249432087,0.6395959488326255,0.8771601583990293,0.7380905151367188,False
29,0.0004227248,0.0008014979,0.000378773,-0.6963864536476573,0.4950820260172315,0.7672403870128871,0.7380905151367188,False
30,0.2522833,0.25205556,-0.00022771092,0.1057648294168833,0.9169387001353516,0.9673199473955358,0.8595733642578125,False
31,-0.0036921112,-0.0034476488,0.0002444625,-0.3090092180827554,0.7608626500949752,0.9374488965583494,0.37359619140625,False
32,0.0030738148,0.0020012304,-0.0010725847,1.3882128359131354,0.18201540910999245,0.5824493091519758,0.5152778625488281,False
33,-0.0069773016,-0.007905311,-0.00092800905,0.7517355481337173,0.4619270800112494,0.7561703325331366,0.4413337707519531,False
34,-0.004665122,-0.0037590656,0.0009060562,-0.6720567874657154,0.5100825622047711,0.777268666216794,0.2934989929199219,False
35,-0.21124844,-0.2127616,-0.0015131487,0.8958234685794826,0.3821711357835881,0.7426147255829552,0.4180412292480469,False
36,0.002965579,0.0031189464,0.00015336752,-0.23130735897862795,0.8196849954737693,0.9374488965583494,0.9529838562011719,False
37,-0.3227778,-0.32219228,0.0005855074,-0.29145738036701513,0.7740336611213214,0.9374488965583494,1.0,False
38,-0.0044046086,-0.0038303842,0.00057422445,-0.8177201700254239,0.42420961030263593,0.7426147255829552,0.3320655822753906,False
39,-0.0017765745,-0.004658664,-0.0028820897,1.951411373885394,0.06674763830551067,0.5127792910480747,0.03234100341796875,False
40,-0.1537586,-0.15672079,-0.0029621704,2.3049496835691357,0.03329283162499556,0.45353530996613034,0.0289306640625,False
41,-0.2987902,-0.30127808,-0.0024878744,1.5883300818162198,0.12962193505671318,0.5231384597530283,0.12318801879882812,False
42,-0.00049883354,-0.0018169241,-0.0013180906,1.4700388534032292,0.15881477625196083,0.5445078042924371,0.2753410339355469,False
43,0.3062347,0.30408728,-0.002147447,1.017773602003245,0.32227134789303014,0.7323842237986243,0.4413337707519531,False
44,-0.2654567,-0.26358557,0.0018711302,-0.7837271840491361,0.4433914809661307,0.7561703325331366,0.6794281005859375,False
45,0.0038533888,0.002645984,-0.0012074048,0.8200482228687108,0.42291542751522526,0.7426147255829552,0.5152778625488281,False
46,0.004643312,0.0005499321,-0.00409338,2.2916727580633856,0.03419934276422045,0.45353530996613034,0.007144927978515625,False
47,-0.0032997304,-0.0045704544,-0.0012707241,1.1108951105770397,0.281232963623006,0.7296855272380696,0.5152778625488281,False
48,0.25791916,0.2580594,0.00014027012,-0.07357106642818755,0.9421631034953123,0.9802028371559334,0.8905677795410156,False
49,-0.003833205,-0.0029174932,0.00091571204,-0.9493139774555078,0.35503373514359593,0.7323842237986243,0.4180412292480469,False
