target,seed_type,seed_value,roi,delta,p_value_fdr,significant_fdr,n_consistent,n_subjects,classification
vim,SPLIT_SEED,2024,rh_superiorfrontal_smooth3mm,-0.00040370933,0.290824362209865,False,11,19,neither
zi,SPLIT_SEED,2024,lh_Ca,-0.00010729366,0.96366548538208,False,13,19,neither
zi,SPLIT_SEED,2024,lh_GPe,0.00026104142,0.6032862067222595,False,10,19,neither
zi,SPLIT_SEED,2024,lh_GPi,0.00016272352,0.923223114013672,False,10,19,neither
zi,SPLIT_SEED,2024,lh_Pu,-1.2103517e-05,0.9718880653381348,False,14,19,neither
zi,SPLIT_SEED,2024,lh_STH,3.1642223e-05,0.9718880653381348,False,11,19,neither
zi,SPLIT_SEED,2024,lh_cerebellum_dentate,-0.00012302137,0.8634404795510427,False,12,19,neither
zi,SPLIT_SEED,2024,lh_cerebellum_motor,-0.00014049835,0.8634404795510427,False,10,19,neither
zi,SPLIT_SEED,2024,lh_paracentral_smooth3mm,2.6671485e-05,0.9718880653381348,False,12,19,neither
zi,SPLIT_SEED,2024,lh_postcentral_smooth3mm,0.00041436325,0.6032862067222595,False,13,19,neither
zi,SPLIT_SEED,2024,lh_precentral_smooth3mm,0.0005315052,0.6032862067222595,False,12,19,neither
zi,SPLIT_SEED,2024,lh_superiorfrontal_smooth3mm,-0.00019716454,0.7061061208898372,False,10,19,neither
zi,SPLIT_SEED,2024,lh_vim,7.2891676e-06,0.9718880653381348,False,13,19,neither
zi,SPLIT_SEED,2024,lh_zi,0.00022807854,0.7061061208898372,False,11,19,neither
zi,SPLIT_SEED,2024,rh_Ca,0.000826431,0.6032862067222595,False,12,19,neither
zi,SPLIT_SEED,2024,rh_GPe,1.8987903e-05,0.9718880653381348,False,13,19,neither
zi,SPLIT_SEED,2024,rh_GPi,0.00033538186,0.6032862067222595,False,10,19,neither
zi,SPLIT_SEED,2024,rh_Pu,-0.00031962813,0.6032862067222595,False,14,19,neither
zi,SPLIT_SEED,2024,rh_STH,-0.00016256512,0.7522643208503723,False,12,19,neither
zi,SPLIT_SEED,2024,rh_cerebellum_dentate,0.00050086743,0.6032862067222595,False,11,19,neither
zi,SPLIT_SEED,2024,rh_cerebellum_motor,2.9224118e-05,0.9718880653381348,False,10,19,neither
zi,SPLIT_SEED,2024,rh_paracentral_smooth3mm,-0.00033117723,0.6032862067222595,False,13,19,neither
zi,SPLIT_SEED,2024,rh_postcentral_smooth3mm,-0.00027842977,0.7061061208898372,False,13,19,neither
zi,SPLIT_SEED,2024,rh_precentral_smooth3mm,-4.9420098e-05,0.9718880653381348,False,10,19,neither
zi,SPLIT_SEED,2024,rh_superiorfrontal_smooth3mm,-4.6059537e-05,0.9718880653381348,False,12,19,neither
