target,seed_type,seed_value,roi,delta,p_value_fdr,significant_fdr,n_consistent,n_subjects,classification
vim,TRAIN_SEED,123,lh_cerebellum_dentate,1.2940973e-06,0.9969417452812196,False,13,19,neither
vim,TRAIN_SEED,123,lh_cerebellum_motor,0.00023490402,0.4908204204157779,False,13,19,neither
vim,TRAIN_SEED,123,lh_paracentral_smooth3mm,0.0001881398,0.4731801350911458,False,10,19,neither
vim,TRAIN_SEED,123,lh_postcentral_smooth3mm,0.00049832073,0.1422777213156223,False,12,19,neither
vim,TRAIN_SEED,123,lh_precentral_smooth3mm,0.0006603889,0.1119031235575676,False,12,19,neither
vim,TRAIN_SEED,123,lh_superiorfrontal_smooth3mm,0.00026256606,0.3347579002380371,False,10,19,neither
vim,TRAIN_SEED,123,lh_vim,0.00034918427,0.1595089435577392,False,13,19,neither
vim,TRAIN_SEED,123,lh_zi,0.00029898484,0.4492269605398178,False,10,19,neither
vim,TRAIN_SEED,123,rh_Ca,0.00066092785,0.1438924832777543,False,13,19,neither
vim,TRAIN_SEED,123,rh_GPe,0.00033362763,0.4546078794142779,False,11,19,neither
vim,TRAIN_SEED,123,rh_GPi,0.00089576957,0.1119031235575676,False,15,19,consistency_threshold
vim,TRAIN_SEED,123,rh_Pu,0.0007385377,0.1119031235575676,False,16,19,consistency_threshold
vim,TRAIN_SEED,123,rh_STH,0.00041180805,0.1119031235575676,False,14,19,neither
vim,TRAIN_SEED,123,rh_cerebellum_dentate,0.0005203283,0.1119031235575676,False,11,19,neither
vim,TRAIN_SEED,123,rh_cerebellum_motor,-4.962606e-05,0.8699679789335831,False,13,19,neither
vim,TRAIN_SEED,123,rh_paracentral_smooth3mm,0.00035808855,0.3213652280660776,False,10,19,neither
vim,TRAIN_SEED,123,rh_postcentral_smooth3mm,-0.00015739293,0.5259172699668191,False,10,19,neither
vim,TRAIN_SEED,123,rh_precentral_smooth3mm,0.00025118372,0.5219508579799107,False,12,19,neither
vim,TRAIN_SEED,123,rh_superiorfrontal_smooth3mm,0.00058868655,0.1119031235575676,False,10,19,neither
zi,TRAIN_SEED,123,lh_Ca,0.00023954498,0.692633544697481,False,13,19,neither
zi,TRAIN_SEED,123,lh_GPe,0.0016371743,0.0207593962550163,True,17,19,fdr_significant
zi,TRAIN_SEED,123,lh_GPi,9.7195596e-05,0.7774716667507006,False,13,19,neither
zi,TRAIN_SEED,123,lh_Pu,0.0006428159,0.1251257558663686,False,16,19,consistency_threshold
zi,TRAIN_SEED,123,lh_STH,0.0003617346,0.5415477752685547,False,13,19,neither
zi,TRAIN_SEED,123,lh_cerebellum_dentate,-3.1456497e-05,0.9050071239471436,False,16,19,consistency_threshold
zi,TRAIN_SEED,123,lh_cerebellum_motor,0.00010750018,0.6986960611845318,False,15,19,consistency_threshold
zi,TRAIN_SEED,123,lh_paracentral_smooth3mm,0.00015779247,0.692633544697481,False,10,19,neither
zi,TRAIN_SEED,123,lh_postcentral_smooth3mm,0.00071083236,0.0524037576147488,False,11,19,neither
zi,TRAIN_SEED,123,lh_precentral_smooth3mm,0.0006107679,0.0628289747983217,False,13,19,neither
zi,TRAIN_SEED,123,lh_superiorfrontal_smooth3mm,0.00010845366,0.7539048876081195,False,11,19,neither
zi,TRAIN_SEED,123,lh_vim,-0.0002017029,0.6976381142934164,False,15,19,consistency_threshold
zi,TRAIN_SEED,123,lh_zi,0.0007962755,0.0524037576147488,False,13,19,neither
zi,TRAIN_SEED,123,rh_Ca,0.0010658749,0.0207593962550163,True,13,19,fdr_significant
zi,TRAIN_SEED,123,rh_GPe,0.00028603288,0.4704954922199249,False,12,19,neither
zi,TRAIN_SEED,123,rh_GPi,0.0008382082,0.0524037576147488,False,13,19,neither
zi,TRAIN_SEED,123,rh_Pu,0.0010821606,0.0223851855844259,True,15,19,fdr_significant
zi,TRAIN_SEED,123,rh_STH,-9.143829e-05,0.7539048876081195,False,11,19,neither
zi,TRAIN_SEED,123,rh_cerebellum_dentate,0.00030853285,0.5349291392735073,False,13,19,neither
zi,TRAIN_SEED,123,rh_cerebellum_motor,-0.00030363465,0.4423789143562316,False,13,19,neither
